asn|vendor_id|sku_id|po_number|ordered_quantity|order_date|received_quantity|operation
asn1||sku01|po_01|5|2022-02-20|4|INSERT
asn2||sku02|po_02|1|2022-02-21|1|INSERT
asn3||sku03|po_03|6|2022-02-22|4|INSERT
asn4||sku04|po_04|10|2022-02-23|5|INSERT
asn5||sku05|po_05|10.5|2022-02-24|5|INSERT
asn6||sku06|po_06|12.5|2022-02-25|5.6|INSERT
asn7||sku07|po_07|14.5|2022-02-26|6.2|INSERT
asn8||sku08|po_08|16.5|2022-02-27|6.8|INSERT
asn9||sku09|po_09|18.5|2022-02-28|7.4|INSERT
asn10||sku10|po_10|20.5|2022-03-01|8|INSERT
asn11||sku11|po_11|22.5|2022-03-02|8.6|INSERT
asn12||sku12|po_12|24.5|2022-03-03|9.2|INSERT
asn13||sku13|po_13|26.5|2022-03-04|9.8|INSERT
asn14||sku14|po_14|28.5|2022-03-05|10.4|INSERT
asn15||sku15|po_15|30.5|2022-03-06|11|INSERT
asn16||sku16|po_16|32.5|2022-03-07|11.6|INSERT
asn17||sku17|po_17|34.5|2022-03-08|12.2|INSERT
asn18||sku18|po_18|36.5|2022-03-09|12.8|INSERT
asn19||sku19|po_19|38.5|2022-03-10|13.4|INSERT
asn20||sku20|po_20|40.5|2022-03-11|14|INSERT
asn21||sku21|po_21|42.5|2022-03-12|14.6|INSERT
asn22||sku22|po_22|44.5|2022-03-13|15.2|INSERT
asn23||sku23|po_23|46.5|2022-03-14|15.8|INSERT
asn24||sku24|po_24|48.5|2022-03-15|16.4|INSERT
asn25||sku25|po_25|50.5|2022-03-16|17|INSERT
asn26||sku26|po_26|52.5|2022-03-17|17.6|INSERT
asn27||sku27|po_27|54.5|2022-03-18|18.2|INSERT
asn28||sku28|po_28|56.5|2022-03-19|18.8|INSERT
asn29||sku29|po_29|58.5|2022-03-20|19.4|INSERT
asn30||sku30|po_30|60.5|2022-03-21|20|INSERT
asn31||sku31|po_31|62.5|2022-03-22|20.6|INSERT
asn32||sku32|po_32|64.5|2022-03-23|21.2|INSERT
asn33||sku33|po_33|66.5|2022-03-24|21.8|INSERT
asn34||sku34|po_34|68.5|2022-03-25|22.4|INSERT
asn35||sku35|po_35|70.5|2022-03-26|23|INSERT
asn36||sku36|po_36|72.5|2022-03-27|23.6|INSERT
asn37||sku37|po_37|74.5|2022-03-28|24.2|INSERT
asn38||sku38|po_38|76.5|2022-03-29|24.8|INSERT
asn39||sku39|po_39|78.5|2022-03-30|25.4|INSERT
asn40||sku40|po_40|80.5|2022-03-31|26|INSERT
asn41||sku41|po_41|82.5|2022-04-01|26.6|INSERT
asn42||sku42|po_42|84.5|2022-04-02|27.2|INSERT
asn43||sku43|po_43|86.5|2022-04-03|27.8|INSERT
asn44||sku44|po_44|88.5|2022-04-04|28.4|INSERT
asn45||sku45|po_45|90.5|2022-04-05|29|INSERT
asn46||sku46|po_46|92.5|2022-04-06|29.6|INSERT
asn47||sku47|po_47|94.5|2022-04-07|30.2|INSERT
asn48||sku48|po_48|96.5|2022-04-08|30.8|INSERT
asn49||sku49|po_49|98.5|2022-04-09|31.4|INSERT
asn50||sku50|po_50|100.5|2022-04-10|32|INSERT
asn51||sku51|po_51|102.5|2022-04-11|32.6|INSERT
asn52||sku52|po_52|104.5|2022-04-12|33.2|INSERT
asn53||sku53|po_53|106.5|2022-04-13|33.8|INSERT
asn54||sku54|po_54|108.5|2022-04-14|34.4|INSERT
asn55||sku55|po_55|110.5|2022-04-15|35|INSERT
asn56||sku56|po_56|112.5|2022-04-16|35.6|INSERT
asn57||sku57|po_57|114.5|2022-04-17|36.2|INSERT
asn58||sku58|po_58|116.5|2022-04-18|36.8|INSERT
asn59||sku59|po_59|118.5|2022-04-19|37.4|INSERT
asn60||sku60|po_60|120.5|2022-04-20|38|INSERT
asn61||sku61|po_61|122.5|2022-04-21|38.6|INSERT
asn62||sku62|po_62|124.5|2022-04-22|39.2|INSERT
asn63||sku63|po_63|126.5|2022-04-23|39.8|INSERT
asn64||sku64|po_64|128.5|2022-04-24|40.4|INSERT
asn65||sku65|po_65|130.5|2022-04-25|41|INSERT
asn66||sku66|po_66|132.5|2022-04-26|41.6|INSERT
asn67||sku67|po_67|134.5|2022-04-27|42.2|INSERT
asn68||sku68|po_68|136.5|2022-04-28|42.8|INSERT
asn69||sku69|po_69|138.5|2022-04-29|43.4|INSERT
asn70||sku70|po_70|140.5|2022-04-30|44|INSERT
asn71||sku71|po_71|142.5|2022-05-01|44.6|INSERT
asn72||sku72|po_72|144.5|2022-05-02|45.2|INSERT
asn73||sku73|po_73|146.5|2022-05-03|45.8|INSERT
asn74||sku74|po_74|148.5|2022-05-04|46.4|INSERT
asn75||sku75|po_75|150.5|2022-05-05|47|INSERT
asn76||sku76|po_76|152.5|2022-05-06|47.6|INSERT
asn77||sku77|po_77|154.5|2022-05-07|48.2|INSERT
asn78||sku78|po_78|156.5|2022-05-08|48.8|INSERT
asn79||sku79|po_79|158.5|2022-05-09|49.4|INSERT
asn80||sku80|po_80|160.5|2022-05-10|50|INSERT
asn81||sku81|po_81|162.5|2022-05-11|50.6|INSERT
asn82||sku82|po_82|164.5|2022-05-12|51.2|INSERT
asn83||sku83|po_83|166.5|2022-05-13|51.8|INSERT
asn84||sku84|po_84|168.5|2022-05-14|52.4|INSERT
asn85||sku85|po_85|170.5|2022-05-15|53|INSERT
asn86||sku86|po_86|172.5|2022-05-16|53.6|INSERT
asn87||sku87|po_87|174.5|2022-05-17|54.2|INSERT
asn88||sku88|po_88|176.5|2022-05-18|54.8|INSERT
asn89||sku89|po_89|178.5|2022-05-19|55.4|INSERT
asn90||sku90|po_90|180.5|2022-05-20|56|INSERT
asn91||sku91|po_91|182.5|2022-05-21|56.6|INSERT
asn92||sku92|po_92|184.5|2022-05-22|57.2|INSERT
asn93||sku93|po_93|186.5|2022-05-23|57.8|INSERT
asn94||sku94|po_94|188.5|2022-05-24|58.4|INSERT
asn95||sku95|po_95|190.5|2022-05-25|59|INSERT
asn96||sku96|po_96|192.5|2022-05-26|59.6|INSERT
asn97||sku97|po_97|194.5|2022-05-27|60.2|INSERT
asn98||sku98|po_98|196.5|2022-05-28|60.8|INSERT
asn99||sku99|po_99|198.5|2022-05-29|61.4|INSERT
asn100||sku100|po_100|200.5|2022-05-30|62|INSERT
asn101||sku101|po_101|202.5|2022-05-31|62.6|INSERT
asn102||sku102|po_102|204.5|2022-06-01|63.2|INSERT
asn103||sku103|po_103|206.5|2022-06-02|63.8|INSERT
asn104||sku104|po_104|208.5|2022-06-03|64.4|INSERT
asn105||sku105|po_105|210.5|2022-06-04|65|INSERT
asn106||sku106|po_106|212.5|2022-06-05|65.6|INSERT
asn107||sku107|po_107|214.5|2022-06-06|66.2|INSERT
asn108||sku108|po_108|216.5|2022-06-07|66.8|INSERT
asn109||sku109|po_109|218.5|2022-06-08|67.4|INSERT
asn110||sku110|po_110|220.5|2022-06-09|68|INSERT
asn111||sku111|po_111|222.5|2022-06-10|68.6|INSERT
asn112||sku112|po_112|224.5|2022-06-11|69.2|INSERT
asn113||sku113|po_113|226.5|2022-06-12|69.8|INSERT
asn114||sku114|po_114|228.5|2022-06-13|70.4|INSERT
asn115||sku115|po_115|230.5|2022-06-14|71|INSERT
asn116||sku116|po_116|232.5|2022-06-15|71.6|INSERT
asn117||sku117|po_117|234.5|2022-06-16|72.2|INSERT
asn118||sku118|po_118|236.5|2022-06-17|72.8|INSERT
asn119||sku119|po_119|238.5|2022-06-18|73.4|INSERT
asn120||sku120|po_120|240.5|2022-06-19|74|INSERT
asn121||sku121|po_121|242.5|2022-06-20|74.6|INSERT
asn122||sku122|po_122|244.5|2022-06-21|75.2|INSERT
asn123||sku123|po_123|246.5|2022-06-22|75.8|INSERT
asn124||sku124|po_124|248.5|2022-06-23|76.4|INSERT
asn125||sku125|po_125|250.5|2022-06-24|77|INSERT
asn126||sku126|po_126|252.5|2022-06-25|77.6|INSERT
asn127||sku127|po_127|254.5|2022-06-26|78.2|INSERT
asn128||sku128|po_128|256.5|2022-06-27|78.8|INSERT
asn129||sku129|po_129|258.5|2022-06-28|79.4|INSERT
asn130||sku130|po_130|260.5|2022-06-29|80|INSERT
asn131||sku131|po_131|262.5|2022-06-30|80.6|INSERT
asn132||sku132|po_132|264.5|2022-07-01|81.2|INSERT
asn133||sku133|po_133|266.5|2022-07-02|81.8|INSERT
asn134||sku134|po_134|268.5|2022-07-03|82.4|INSERT
asn135||sku135|po_135|270.5|2022-07-04|83|INSERT
asn136||sku136|po_136|272.5|2022-07-05|83.6|INSERT
asn137||sku137|po_137|274.5|2022-07-06|84.2|INSERT
asn138||sku138|po_138|276.5|2022-07-07|84.8|INSERT
asn139||sku139|po_139|278.5|2022-07-08|85.4|INSERT
asn140||sku140|po_140|280.5|2022-07-09|86|INSERT
asn141||sku141|po_141|282.5|2022-07-10|86.6|INSERT
asn142||sku142|po_142|284.5|2022-07-11|87.2|INSERT
asn143||sku143|po_143|286.5|2022-07-12|87.8|INSERT
asn144||sku144|po_144|288.5|2022-07-13|88.4|INSERT
asn145||sku145|po_145|290.5|2022-07-14|89|INSERT
asn146||sku146|po_146|292.5|2022-07-15|89.6|INSERT
asn147||sku147|po_147|294.5|2022-07-16|90.2|INSERT
asn148||sku148|po_148|296.5|2022-07-17|90.8|INSERT
asn149||sku149|po_149|298.5|2022-07-18|91.4|INSERT
asn150||sku150|po_150|300.5|2022-07-19|92|INSERT
asn151||sku151|po_151|302.5|2022-07-20|92.6|INSERT
asn152||sku152|po_152|304.5|2022-07-21|93.2|INSERT
asn153||sku153|po_153|306.5|2022-07-22|93.8|INSERT
asn154||sku154|po_154|308.5|2022-07-23|94.4|INSERT
asn155||sku155|po_155|310.5|2022-07-24|95|INSERT
asn156||sku156|po_156|312.5|2022-07-25|95.6|INSERT
asn157||sku157|po_157|314.5|2022-07-26|96.2|INSERT
asn158||sku158|po_158|316.5|2022-07-27|96.8|INSERT
asn159||sku159|po_159|318.5|2022-07-28|97.4|INSERT
asn160||sku160|po_160|320.5|2022-07-29|98|INSERT
asn161||sku161|po_161|322.5|2022-07-30|98.6|INSERT
asn162||sku162|po_162|324.5|2022-07-31|99.2|INSERT
asn163||sku163|po_163|326.5|2022-08-01|99.8|INSERT
asn164||sku164|po_164|328.5|2022-08-02|100.4|INSERT
asn165||sku165|po_165|330.5|2022-08-03|101|INSERT
asn166||sku166|po_166|332.5|2022-08-04|101.6|INSERT
asn167||sku167|po_167|334.5|2022-08-05|102.2|INSERT
asn168||sku168|po_168|336.5|2022-08-06|102.8|INSERT
asn169||sku169|po_169|338.5|2022-08-07|103.4|INSERT
asn170||sku170|po_170|340.5|2022-08-08|104|INSERT
asn171||sku171|po_171|342.5|2022-08-09|104.6|INSERT
asn172||sku172|po_172|344.5|2022-08-10|105.2|INSERT
asn173||sku173|po_173|346.5|2022-08-11|105.8|INSERT
asn174||sku174|po_174|348.5|2022-08-12|106.4|INSERT
asn175||sku175|po_175|350.5|2022-08-13|107|INSERT
asn176||sku176|po_176|352.5|2022-08-14|107.6|INSERT
asn177||sku177|po_177|354.5|2022-08-15|108.2|INSERT
asn178||sku178|po_178|356.5|2022-08-16|108.8|INSERT
asn179||sku179|po_179|358.5|2022-08-17|109.4|INSERT
asn180||sku180|po_180|360.5|2022-08-18|110|INSERT
asn181||sku181|po_181|362.5|2022-08-19|110.6|INSERT
asn182||sku182|po_182|364.5|2022-08-20|111.2|INSERT
asn183||sku183|po_183|366.5|2022-08-21|111.8|INSERT
asn184||sku184|po_184|368.5|2022-08-22|112.4|INSERT
asn185||sku185|po_185|370.5|2022-08-23|113|INSERT
asn186||sku186|po_186|372.5|2022-08-24|113.6|INSERT
asn187||sku187|po_187|374.5|2022-08-25|114.2|INSERT
asn188||sku188|po_188|376.5|2022-08-26|114.8|INSERT
asn189||sku189|po_189|378.5|2022-08-27|115.4|INSERT
asn190||sku190|po_190|380.5|2022-08-28|116|INSERT
asn191||sku191|po_191|382.5|2022-08-29|116.6|INSERT
asn192||sku192|po_192|384.5|2022-08-30|117.2|INSERT
asn193||sku193|po_193|386.5|2022-08-31|117.8|INSERT
asn194||sku194|po_194|388.5|2022-09-01|118.4|INSERT
asn195||sku195|po_195|390.5|2022-09-02|119|INSERT
asn196||sku196|po_196|392.5|2022-09-03|119.6|INSERT
asn197||sku197|po_197|394.5|2022-09-04|120.2|INSERT
asn198||sku198|po_198|396.5|2022-09-05|120.8|INSERT
asn199||sku199|po_199|398.5|2022-09-06|121.4|INSERT
asn200||sku200|po_200|400.5|2022-09-07|122|INSERT
asn201||sku201|po_201|402.5|2022-09-08|122.6|INSERT
asn202||sku202|po_202|404.5|2022-09-09|123.2|INSERT
asn203||sku203|po_203|406.5|2022-09-10|123.8|INSERT
asn204||sku204|po_204|408.5|2022-09-11|124.4|INSERT
asn205||sku205|po_205|410.5|2022-09-12|125|INSERT
asn206||sku206|po_206|412.5|2022-09-13|125.6|INSERT
asn207||sku207|po_207|414.5|2022-09-14|126.2|INSERT
asn208||sku208|po_208|416.5|2022-09-15|126.8|INSERT
asn209||sku209|po_209|418.5|2022-09-16|127.4|INSERT
asn210||sku210|po_210|420.5|2022-09-17|128|INSERT
asn211||sku211|po_211|422.5|2022-09-18|128.6|INSERT
asn212||sku212|po_212|424.5|2022-09-19|129.2|INSERT
asn213||sku213|po_213|426.5|2022-09-20|129.8|INSERT
asn214||sku214|po_214|428.5|2022-09-21|130.4|INSERT
asn215||sku215|po_215|430.5|2022-09-22|131|INSERT
asn216||sku216|po_216|432.5|2022-09-23|131.6|INSERT
asn217||sku217|po_217|434.5|2022-09-24|132.2|INSERT
asn218||sku218|po_218|436.5|2022-09-25|132.8|INSERT
asn219||sku219|po_219|438.5|2022-09-26|133.4|INSERT
asn220||sku220|po_220|440.5|2022-09-27|134|INSERT
asn221||sku221|po_221|442.5|2022-09-28|134.6|INSERT
asn222||sku222|po_222|444.5|2022-09-29|135.2|INSERT
asn223||sku223|po_223|446.5|2022-09-30|135.8|INSERT
asn224||sku224|po_224|448.5|2022-10-01|136.4|INSERT
asn225||sku225|po_225|450.5|2022-10-02|137|INSERT
asn226||sku226|po_226|452.5|2022-10-03|137.6|INSERT
asn227||sku227|po_227|454.5|2022-10-04|138.2|INSERT
asn228||sku228|po_228|456.5|2022-10-05|138.8|INSERT
asn229||sku229|po_229|458.5|2022-10-06|139.4|INSERT
asn230||sku230|po_230|460.5|2022-10-07|140|INSERT
asn231||sku231|po_231|462.5|2022-10-08|140.6|INSERT
asn232||sku232|po_232|464.5|2022-10-09|141.2|INSERT
asn233||sku233|po_233|466.5|2022-10-10|141.8|INSERT
asn234||sku234|po_234|468.5|2022-10-11|142.4|INSERT
asn235||sku235|po_235|470.5|2022-10-12|143|INSERT
asn236||sku236|po_236|472.5|2022-10-13|143.6|INSERT
asn237||sku237|po_237|474.5|2022-10-14|144.2|INSERT
asn238||sku238|po_238|476.5|2022-10-15|144.8|INSERT
asn239||sku239|po_239|478.5|2022-10-16|145.4|INSERT
asn240||sku240|po_240|480.5|2022-10-17|146|INSERT
asn241||sku241|po_241|482.5|2022-10-18|146.6|INSERT
asn242||sku242|po_242|484.5|2022-10-19|147.2|INSERT
asn243||sku243|po_243|486.5|2022-10-20|147.8|INSERT
asn244||sku244|po_244|488.5|2022-10-21|148.4|INSERT
asn245||sku245|po_245|490.5|2022-10-22|149|INSERT
asn246||sku246|po_246|492.5|2022-10-23|149.6|INSERT
asn247||sku247|po_247|494.5|2022-10-24|150.2|INSERT
asn248||sku248|po_248|496.5|2022-10-25|150.8|INSERT
asn249||sku249|po_249|498.5|2022-10-26|151.4|INSERT
asn250||sku250|po_250|500.5|2022-10-27|152|INSERT
asn251||sku251|po_251|502.5|2022-10-28|152.6|INSERT
asn252||sku252|po_252|504.5|2022-10-29|153.2|INSERT
asn253||sku253|po_253|506.5|2022-10-30|153.8|INSERT
asn254||sku254|po_254|508.5|2022-10-31|154.4|INSERT
asn255||sku255|po_255|510.5|2022-11-01|155|INSERT
asn256||sku256|po_256|512.5|2022-11-02|155.6|INSERT
asn257||sku257|po_257|514.5|2022-11-03|156.2|INSERT
asn258||sku258|po_258|516.5|2022-11-04|156.8|INSERT
asn259||sku259|po_259|518.5|2022-11-05|157.4|INSERT
asn260||sku260|po_260|520.5|2022-11-06|158|INSERT
asn261||sku261|po_261|522.5|2022-11-07|158.6|INSERT
asn262||sku262|po_262|524.5|2022-11-08|159.2|INSERT
asn263||sku263|po_263|526.5|2022-11-09|159.8|INSERT
asn264||sku264|po_264|528.5|2022-11-10|160.4|INSERT
asn265||sku265|po_265|530.5|2022-11-11|161|INSERT
asn266||sku266|po_266|532.5|2022-11-12|161.6|INSERT
asn267||sku267|po_267|534.5|2022-11-13|162.2|INSERT
asn268||sku268|po_268|536.5|2022-11-14|162.8|INSERT
asn269||sku269|po_269|538.5|2022-11-15|163.4|INSERT
asn270||sku270|po_270|540.5|2022-11-16|164|INSERT
asn271||sku271|po_271|542.5|2022-11-17|164.6|INSERT
asn272||sku272|po_272|544.5|2022-11-18|165.2|INSERT
asn273||sku273|po_273|546.5|2022-11-19|165.8|INSERT
asn274||sku274|po_274|548.5|2022-11-20|166.4|INSERT
asn275||sku275|po_275|550.5|2022-11-21|167|INSERT
asn276||sku276|po_276|552.5|2022-11-22|167.6|INSERT
asn277||sku277|po_277|554.5|2022-11-23|168.2|INSERT
asn278||sku278|po_278|556.5|2022-11-24|168.8|INSERT
asn279||sku279|po_279|558.5|2022-11-25|169.4|INSERT
asn280||sku280|po_280|560.5|2022-11-26|170|INSERT
asn281||sku281|po_281|562.5|2022-11-27|170.6|INSERT
asn282||sku282|po_282|564.5|2022-11-28|171.2|INSERT
asn283||sku283|po_283|566.5|2022-11-29|171.8|INSERT
asn284||sku284|po_284|568.5|2022-11-30|172.4|INSERT
asn285||sku285|po_285|570.5|2022-12-01|173|INSERT
asn286||sku286|po_286|572.5|2022-12-02|173.6|INSERT
asn287||sku287|po_287|574.5|2022-12-03|174.2|INSERT
asn288||sku288|po_288|576.5|2022-12-04|174.8|INSERT
asn289||sku289|po_289|578.5|2022-12-05|175.4|INSERT
asn290||sku290|po_290|580.5|2022-12-06|176|INSERT
asn291||sku291|po_291|582.5|2022-12-07|176.6|INSERT
asn292||sku292|po_292|584.5|2022-12-08|177.2|INSERT
asn293||sku293|po_293|586.5|2022-12-09|177.8|INSERT
asn294||sku294|po_294|588.5|2022-12-10|178.4|INSERT
asn295||sku295|po_295|590.5|2022-12-11|179|INSERT
asn296||sku296|po_296|592.5|2022-12-12|179.6|INSERT
asn297||sku297|po_297|594.5|2022-12-13|180.2|INSERT
asn298||sku298|po_298|596.5|2022-12-14|180.8|INSERT
asn299||sku299|po_299|598.5|2022-12-15|181.4|INSERT
asn300||sku300|po_300|600.5|2022-12-16|182|INSERT
asn301||sku301|po_301|602.5|2022-12-17|182.6|INSERT
asn302||sku302|po_302|604.5|2022-12-18|183.2|INSERT
asn303||sku303|po_303|606.5|2022-12-19|183.8|INSERT
asn304||sku304|po_304|608.5|2022-12-20|184.4|INSERT
asn305||sku305|po_305|610.5|2022-12-21|185|INSERT
asn306||sku306|po_306|612.5|2022-12-22|185.6|INSERT
asn307||sku307|po_307|614.5|2022-12-23|186.2|INSERT
asn308||sku308|po_308|616.5|2022-12-24|186.8|INSERT
asn309||sku309|po_309|618.5|2022-12-25|187.4|INSERT
asn310||sku310|po_310|620.5|2022-12-26|188|INSERT
asn311||sku311|po_311|622.5|2022-12-27|188.6|INSERT
asn312||sku312|po_312|624.5|2022-12-28|189.2|INSERT
asn313||sku313|po_313|626.5|2022-12-29|189.8|INSERT
asn314||sku314|po_314|628.5|2022-12-30|190.4|INSERT
asn315||sku315|po_315|630.5|2022-12-31|191|INSERT
asn316||sku316|po_316|632.5|2023-01-01|191.6|INSERT
asn317||sku317|po_317|634.5|2023-01-02|192.2|INSERT
asn318||sku318|po_318|636.5|2023-01-03|192.8|INSERT
asn319||sku319|po_319|638.5|2023-01-04|193.4|INSERT
asn320||sku320|po_320|640.5|2023-01-05|194|INSERT
asn321||sku321|po_321|642.5|2023-01-06|194.6|INSERT
asn322||sku322|po_322|644.5|2023-01-07|195.2|INSERT
asn323||sku323|po_323|646.5|2023-01-08|195.8|INSERT
asn324||sku324|po_324|648.5|2023-01-09|196.4|INSERT
asn325||sku325|po_325|650.5|2023-01-10|197|INSERT
asn326||sku326|po_326|652.5|2023-01-11|197.6|INSERT
asn327||sku327|po_327|654.5|2023-01-12|198.2|INSERT
asn328||sku328|po_328|656.5|2023-01-13|198.8|INSERT
asn329||sku329|po_329|658.5|2023-01-14|199.4|INSERT
asn330||sku330|po_330|660.5|2023-01-15|200|INSERT
asn331||sku331|po_331|662.5|2023-01-16|200.6|INSERT
asn332||sku332|po_332|664.5|2023-01-17|201.2|INSERT
asn333||sku333|po_333|666.5|2023-01-18|201.8|INSERT
asn334||sku334|po_334|668.5|2023-01-19|202.4|INSERT
asn335||sku335|po_335|670.5|2023-01-20|203|INSERT
asn336||sku336|po_336|672.5|2023-01-21|203.6|INSERT
asn337||sku337|po_337|674.5|2023-01-22|204.2|INSERT
asn338||sku338|po_338|676.5|2023-01-23|204.8|INSERT
asn339||sku339|po_339|678.5|2023-01-24|205.4|INSERT
asn340||sku340|po_340|680.5|2023-01-25|206|INSERT
asn341||sku341|po_341|682.5|2023-01-26|206.6|INSERT
asn342||sku342|po_342|684.5|2023-01-27|207.2|INSERT
